ISIN,NAME,Country
AEA000201011,ABU DHABI COML.BANK,EM
AEA000701010,WAHA CAPITAL,EM
AEA000801018,ABU DHABI ISLAMIC BANK,EM
AEA001201010,AMLAK FINANCE,EM
AEA001501013,ARABTEC HOLDING SUSP - SUSP.30/09/20,EM
AEA001901015,AGTHIA GROUP SUSP - SUSP.09/04/21,EM
AEA002001013,ALDAR PROPERTIES,EM
AEA003001012,AIR ARABIA,EM
AEA003201018,AJMAN BANK,EM
AEA005901011,AMANAT HOLDINGS,EM
AEA006101017,ADB.NAT.OIL CO.FOR DS. PJSC,EM
AEB000101011,BANK OF SHARJAH SUSP - SUSP.03/04/21,EM
AED000201015,DUBAI ISLAMIC BANK,EM
AED000601016,DUBAI INVESTMENT,EM
AED000701014,DANA GAS,EM
AED000901010,DUBAI FINANCIAL MARKET,EM
AED001001018,DEYAAR DEVELOPMENT,EM
AED001101016,DRAKE & SKULL INTL.,EM
AED001301012,DAMAC PROPERTIES DUBAI,EM
AED001501017,DXB ENTERTAINMENTS,EM
AEDFXA0M6V00,DP WORLD DEAD - DELIST.23/06/20,EM
AEDFXA14NUL7,ORASCOM CONST,EM
AEE000301011,EMAAR PROPERTIES,EM
AEE000401019,EMIRATES TELECOM.,EM
AEE000801010,EMIRATES NBD,EM
AEE000901018,ESHRAQ INVESTMENTS,EM
AEE001501015,EMAAR MALLS GROUP ORD,EM
AEE001901017,EMAAR DEVELOPMENT PJSC,EM
AEF000201010,FIRST GULF BANK DEAD - DELIST.02/04/17,EM
AEG000301016,GULF GENERAL INVESTMENT SUSP - SUSP.11/09/20,EM
AEG000601019,GULF NAVIGATION HDG.,EM
AEI000101016,INVEST BANK SUSP - SUSP.28/03/21,EM
AEN000101016,FIRST ABU DHABI BANK,EM
AEN000501017,NATIONAL CTL.COOLING,EM
AEN000601015,NATIONAL BANK OF RAS AL KHAIMAH,EM
AER000301013,RAS AL KHAIMAH CERAMICS,EM
AER000601016,RAK PROPERTIES,EM
AEU000101011,UNION PROPERTIES,EM
AEU000401015,UNION NATIONAL BANK DEAD - DELIST.01/05/19,EM
AGP8696W1045,SINOVAC BIOTECH,EM
AN8068571086,SCHLUMBERGER,AMER
ANN4327C1220,HUNTER DOUGLAS,EUR
ARALUA010258,ALUAR,EM
ARBANS010010,BANCO MACRO BANSUD 'B',EM
ARGCLA010015,GRUPO CLARIN 'B',EM
ARP125991090,BBVA BANCO FRANCES,EM
ARP432631215,PAMPA ENERGIA,EM
ARP495251018,GP FINANCE GALICIA 'B',EM
ARP9028N1016,TELECOM ARGENTINA,EM
ARP9897X1319,YPF,EM
ARPERE010103,PETROBRAS ENERGIA 'B' DEAD - DELIST.22/05/18,EM
ARSIDE010029,TERNIUM ARGENTINA SOCIEDAD ANONIMA,EM
AT000000STR1,STRABAG SE,EUR
AT00000FACC2,FACC AG,EUR
AT00000VIE62,FLUGHAFEN WIEN,EUR
AT0000499157,CHRIST WATER TECHNOLOGY DEAD - 20/09/10,EUR
AT0000606306,RAIFFEISEN BANK INTL.,EUR
AT0000609607,PORR,EUR
AT0000612601,INTERCELL DEAD - 28/05/13,EUR
AT0000641352,CA IM.ANLAGEN,EUR
AT0000642806,IMMOEAST DEAD - MERGED 866289,EUR
AT0000644505,LENZING,EUR
AT0000652011,ERSTE GROUP BANK,EUR
AT0000652250,S IMMO,EUR
AT0000697750,CONWERT IM.INVEST DEAD - DELIST.26/10/17,EUR
AT0000720008,TELEKOM AUSTRIA,EUR
AT0000730007,ANDRITZ,EUR
AT0000737705,BWT DEAD - DELIST.05/10/17,EUR
AT0000741053,EVN,EUR
AT0000743059,OMV,EUR
AT0000746409,VERBUND,EUR
AT0000758305,PALFINGER,EUR
AT0000767553,BWIN INTACT.ENTM. DEAD - MERGED 30234N,EUR
AT0000785555,SEMPERIT,EUR
AT0000815402,UBM DEVELOPMENT,EUR
AT0000818802,DO CO REST.CATER.,EUR
AT0000821103,UNIQA INSU GR AG,EUR
AT0000831706,WIENERBERGER,EUR
AT0000837307,ZUMTOBEL,EUR
AT0000903851,BOEHLER-UDDEHOLM DEAD - 05/09/08,EUR
AT0000908504,VIENNA INSURANCE GROUP A,EUR
AT0000922554,ROSENBAUER INTL.,EUR
AT0000937503,VOESTALPINE,EUR
AT0000938204,MAYR-MELNHOF KARTON,EUR
AT0000946652,SCHOELLER-BLECKMANN,EUR
AT0000969985,AT&S AU.TCHG.& SYSTK.,EUR
AT0000A00XX9,POLYTEC HOLDING,EUR
AT0000A0E9W5,S&T,EUR
AT0000A18XM4,AMS,EUR
AT0000A21KS2,IMMOFINANZ,EUR
AT0000APOST4,OSTERREICHISCHE POST,EUR
AT0000BAWAG2,BAWAG GROUP,EUR
AT0000KTMI02,PIERER MOBILITY,EUR
AT000AGRANA3,AGRANA BETEILIGUNGS,EUR
AT000KAPSCH9,KAPSCH TRAFFICCOM,EUR
AT00BUWOG001,BUWOG DEAD - DELIST.07/12/18,EUR
AU0000001PG3,1-PAGE (OTC),PAC
AU0000003PL9,3P LEARNING,PAC
AU0000005159,JUPITER MINES,PAC
AU0000009789,PENDAL GROUP,PAC
AU000000AAC9,AUSTRALIAN AGRICULTURAL,PAC
AU000000AAX5,AUSENCO DEAD - DELIST.16/09/16,PAC
AU000000ABB9,ABB GRAIN DEAD - DELIST.25/09/09,PAC
AU000000ABC7,ADBRI,PAC
AU000000ABP9,ABACUS PROPERTY GROUP STAPLED UNITS,PAC
AU000000ACR3,ACRUX,PAC
AU000000ACX1,ACONEX DEAD - DELIST.03/04/18,PAC
AU000000AD88,AUDINATE,PAC
AU000000ADA7,ADACEL TECHNOLOGIES,PAC
AU000000ADH2,ADAIRS,PAC
AU000000AEF4,AUSTRALIAN ETHICAL INVESTMENT,PAC
AU000000AEJ6,REDBANK ENERGY DEAD - DELIST.30/08/16,PAC
AU000000AFG9,AUSTRALIAN FINANCE GP.,PAC
AU000000AFI5,AUST.FNDTN.INV.COMPANY,PAC
AU000000AFJ3,AFFINITY EDUCATION GP. DEAD - DELIST.15/12/15,PAC
AU000000AGI3,AINSWORTH GAME TECH.,PAC
AU000000AGL7,AGL ENERGY,PAC
AU000000AGO1,ATLAS IRON DEAD - DELIST.23/11/18,PAC
AU000000AGY0,ARGOSY MINERALS CDI.,PAC
AU000000AHG5,AUTOMOTIVE HOLDINGS GP. DEAD - DELIST.30/09/19,PAC
AU000000AHY8,ASALEO CARE,PAC
AU000000AIO7,ASCIANO DEAD - DELIST.25/08/16,PAC
AU000000AJA4,ASTRO JAPAN PR.GROUP DEAD - DELIST.11/10/17,PAC
AU000000AJL1,AJ LUCAS GROUP,PAC
AU000000AJM9,ALTURA MINING SUSP - SUSP.06/04/21,PAC
