ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020
AEA000201011,ABU DHABI COML.BANK,,,,,,2.42,4.23,3.87,3.47,,,,,,,2.37,2.53,2.03,2.05,2.33,1.89,1.15
AEA000701010,WAHA CAPITAL,,,,,,,3.15,5.79,7.71,4.47,7.42,8.01,5.34,6.56,8.13,24.71,6.93,5.69,5.31,2.75,-3.85,3.85
AEA000801018,ABU DHABI ISLAMIC BANK,,,,,,1.12,1.98,1.95,1.91,2.02,0.07,1.36,1.69,1.69,2.1,2.11,2.12,2.01,1.95,2.17,2.32,1.29
AEA001201010,AMLAK FINANCE,,,,,,,,,,,,,,,,,,,0.65,-4.31,-5.84,-9.7
AEA001501013,ARABTEC HOLDING SUSP - SUSP.30/09/20,,,,,,,,10.33,15.02,13.74,5.9,3.91,3.36,1.57,3.94,1.95,-16.84,-29.16,1.86,3.19,-6.22,
AEA001901015,AGTHIA GROUP SUSP - SUSP.09/04/21,,,,,,,3.88,3.72,4.52,7.92,9.73,9.51,6.75,8.54,9.24,9.65,10.78,10.74,8.13,7.96,5.28,1.58
AEA002001013,ALDAR PROPERTIES,,,,,,,,32.97,17.28,10.6,2.4,-21.09,3.97,5.99,7.85,6.36,7.43,8.41,6.24,5.77,5.82,5.49
AEA003001012,AIR ARABIA,,,,,,,21.94,37.2,9.88,9.1,7.58,4.92,4.3,5.99,5.32,6.2,5.33,4.86,5.88,-3.96,9.24,-0.42
AEA003201018,AJMAN BANK,,,,,,,,,,,,0.16,0.19,0.71,0.17,0.79,0.97,0.82,0.73,0.79,0.36,0.23
AEA005901011,AMANAT HOLDINGS,,,,,,,,,,,,,,,,,,,1.6,1.59,2.32,0.56
AEA006101017,ADB.NAT.OIL CO.FOR DS. PJSC,,,,,,,,,,,,,,,,,,17.89,15.42,16.63,15.85,19.31
AEB000101011,BANK OF SHARJAH SUSP - SUSP.03/04/21,,,,,,4.25,13.15,5.11,,,,,,,,1.24,0.98,1.49,0.94,0.44,-1.66,
AED000201015,DUBAI ISLAMIC BANK,,,,,,1.73,2.88,2.9,3.37,2.16,1.47,0.96,,,,2.26,2.34,1.92,2.01,2.06,2.01,1.06
AED000601016,DUBAI INVESTMENT,,,,,,16.69,26.58,21.9,19.54,13.86,7.82,6.79,2.6,3.74,7.4,10.57,7.95,8.18,6.56,4.31,4.52,2.74
AED000701014,DANA GAS,,,,,,,,,1.83,2.5,1.71,2.36,5.88,6.66,6.12,4.96,5.76,0.23,3.49,-4.35,5.39,-13.34
AED000901010,DUBAI FINANCIAL MARKET,,,,,,,,,,6.42,4.11,1,-0.07,0.47,3.57,8.79,2.99,2.93,2.56,1.34,1.32,1.46
AED001001018,DEYAAR DEVELOPMENT,,,,,,15.15,16.37,20.43,6.67,10.76,0.43,-23.25,1.12,1.52,3.09,5.17,5.17,3.79,2.35,2.58,1.64,-3.04
AED001101016,DRAKE & SKULL INTL.,,,,,,,,,,,,4.08,4.11,1.79,2.86,1.5,-9.35,-8.57,-14.86,-99.42,2.66,33.9
AED001301012,DAMAC PROPERTIES DUBAI,,,,,,,,,,,,,6.58,9.52,24.44,23.68,22.08,16.13,12.14,5.85,1.04,-3.57
AED001501017,DXB ENTERTAINMENTS,,,,,,,,,,,,,,,-6.43,-0.59,-1.23,-4.45,-6.89,-19.23,-4.33,-26.82
AEDFXA0M6V00,DP WORLD DEAD - DELIST.23/06/20,,,,,,,,,8.94,4.88,3.74,3.61,5.44,6.25,5.65,5.73,6.46,6.66,7.02,6.89,6.13,4.51
AEDFXA14NUL7,ORASCOM CONST,,,,,,,,,,,,,,-20.14,3.23,,,1.96,3.02,5.46,4.97,2.97
AEE000301011,EMAAR PROPERTIES,,,,,,15.63,20.95,17.49,13.95,5.44,0.83,4.43,3.83,4.66,5.03,5.47,5.94,6.63,6.16,6.39,6.3,2.96
AEE000401019,EMIRATES TELECOM.,,,,,,17.87,19.15,17.5,15.84,15.85,13.75,10.8,8.67,9.27,8.84,9.73,7.3,7.8,7.42,7.48,7.59,7.73
AEE000801010,EMIRATES NBD,,,,,,2.78,3.59,3.99,1.92,1.63,,,,,,,,,,,,1.14
AEE000901018,ESHRAQ INVESTMENTS,,,,,,,,,,,,,-0.04,17.27,16.42,-23.3,0.44,-28.5,2.12,0.26,-0.24,-4.41
AEE001501015,EMAAR MALLS GROUP ORD,,,,,,,,,,,,,,13.43,15.62,9.97,8.17,8.61,9.12,9.92,10.29,3.68
AEE001901017,EMAAR DEVELOPMENT PJSC,,,,,,,,,,,,,,,,,11.92,12.11,12.84,14.87,9.27,5.37
AEF000201010,FIRST GULF BANK DEAD - DELIST.02/04/17,,,,,,2.45,5.5,4.58,3.63,3.57,2.88,2.6,2.72,2.93,2.58,2.82,2.79,2.59,,,,
AEG000301016,GULF GENERAL INVESTMENT SUSP - SUSP.11/09/20,,,,,,16.21,28.22,13.2,12.18,7.03,3.52,-8.35,-9.93,-2.48,3.41,3.11,2.32,-0.24,-1.43,-1.96,0.52,0.5
AEG000601019,GULF NAVIGATION HDG.,,,,,,,,,,6.34,2.47,-7.23,-0.89,-3.75,-49.13,1.65,2.76,14.74,5.13,-1.38,-21.23,-22.58
AEI000101016,INVEST BANK SUSP - SUSP.28/03/21,,,,,,,,,,,,,,,2.81,2.88,1.84,1.81,-1.73,-9.78,-4.6,
AEN000101016,FIRST ABU DHABI BANK,,,,,,2.28,3.7,2.59,,,,,,,,1.87,1.45,1.39,1.86,1.92,1.82,1.39
AEN000501017,NATIONAL CTL.COOLING,,,,,,3.58,4.02,4.56,3.23,,-13.49,4.22,4.75,4.91,4.97,5.22,5.48,6.12,6.42,6.78,7.49,7.18
AEN000601015,NATIONAL BANK OF RAS AL KHAIMAH,,,,,,2.88,2.95,3.21,4.05,5.11,4.92,5.39,5.37,5.5,4.99,4.53,3.87,1.77,2.02,2.27,2.5,1.22
AER000301013,RAS AL KHAIMAH CERAMICS,,,,,,,8.17,7.69,6.78,6.84,7.59,7.07,5.87,5.69,6.48,5.69,5.5,0.58,5.72,4.47,4.3,-0.96
AER000601016,RAK PROPERTIES,,,,,,,,,16.71,10.23,4.13,4.17,2.37,3.09,3.51,3.43,3.46,3.66,3.83,2.93,1.94,2.3
AEU000101011,UNION PROPERTIES,,,,,,6.26,13.11,9.43,8.2,5.47,-1.83,-7.7,-10.06,3.69,20.17,11.63,6.51,3.51,-34.12,3.14,-0.84,5.44
AEU000401015,UNION NATIONAL BANK DEAD - DELIST.01/05/19,,,,,,2.2,,,,,,,,,,2.23,1.92,1.54,1.49,1.04,,
AGP8696W1045,SINOVAC BIOTECH,,,,-55.42,-1.24,-23.33,-18.76,-1.36,17.48,12.14,17.98,-4.06,0.06,-6.69,4.67,1.08,-0.34,0.54,10.97,6.82,11.27,
AN8068571086,SCHLUMBERGER,3.2,5.75,3.95,-10.03,3.08,7.69,13.98,19.23,21.4,18.95,10.17,10.41,9.72,9.78,10.86,8.55,3.34,-1.83,-1.45,3.58,-15.18,-20.4
ANN4327C1220,HUNTER DOUGLAS,10.33,10.95,8.23,8.49,9.48,10.23,10.35,12.75,10.66,0.13,4.24,7.44,3.9,5.13,5.81,6.53,8.28,11.71,8.07,8.83,9.16,3.76
ARALUA010258,ALUAR,7.14,11.36,9.12,7.24,11.32,14.21,15.1,14.85,14.16,11.01,0.95,7.61,10.84,3.99,3.82,8.95,13.65,11.59,14.9,21.04,14.42,0.92
ARBANS010010,BANCO MACRO BANSUD 'B',,-5.69,-6.21,23.38,8.68,3.79,4.57,4.56,4.45,4.41,3.77,4.2,3.94,4.22,4.74,5.44,5.98,5.28,5.17,5.73,10.96,4.66
ARGCLA010015,GRUPO CLARIN 'B',,,,,,,,,5.59,5.29,6,7.9,7.22,5.65,5.86,7.56,11.61,8.78,7.85,-3.21,-4.64,0.03
ARP125991090,BBVA BANCO FRANCES,2.05,1.49,0.6,18.14,5.7,1.36,2.94,1.84,1.67,2.88,3.32,4.55,3.21,3.52,4.13,5.27,4.43,3.04,2.26,3.77,8.64,2.1
ARP432631215,PAMPA ENERGIA,,,,,,,,,5.09,2.77,3.85,1.61,-4.24,-1.29,5.92,10.64,16.91,5.84,9.29,7.41,14.98,-6.13
